,Text,label
450,generate ascii box nodejs see ability bring flappy bird node via ascii tube bird,1
195,vin scully called camel jockey,0
2266,nig fun watch got admit ebola boy speak broken spanish lol,0
1532,go get left hot car die bitch,0
906,southwest airline like driving mini van white trash cousin love huff paint thinner working,0
1731,someone gave nip bailey irish cream coffee use suggestion,1
238,amo hang,1
1057,look rally bottom th,1
1834,lmao nigga regionally picky hoe say anything twitter make fun tho,0
738,laying rock around lake welcome join redneck workout,1
992,accept flaw imperfection make see fuck small dick faggot parent love,0
1149,yea live guess still got roof fixed charlie jeanne,1
2037,dallas hoe,1
1649,scandal sex scene air abc right great pumpkin charlie brown making parent angry,1
2599,honky,1
1670,miss pizza passion,1
1999,idk trash though,1
133,stand yankee jeter hitting home run final bat nyc would cool getting beaned would better,1
2878,lookin good mick,1
1817,little girl tom sawyer get trapped cave along injun joe almost die injun joe dy find treasure,1
1199,stupid teabagger restaurant making customer pay minimum wage fee,0
1598,devin hester bitch,0
2404,mean following order subordinate sue ya dyke,0
2836,great thought panic bird flu bad really got time,1
783,inner nigger coming,0
1666,like sand nigger entertaining like knockdown,0
1940,least say crazy nigga got ta find bitch wild shooting as,0
144,fashion world urban mean stolen black people ghetto u urban haha,1
1915,go away already,1
2448,nigga call bitch fight bitch naw whomp trick feel coming,0
1850,cutie lesbian teen toy slit,1
2828,available online soon enough get anathema merch cracker need u,1
1667,dyke chick cut hair barbershop look like future,0
19,fucking fag exactly talking woman pig,0
2832,sound like good idea want word spread jew nigger commie alike,0
603,gone dog ran coon transformer pole picked one shot still electricity,1
2076,job u prez protect u throw trash ebola er cost daniel money life dog,1
1372,ur profile one armed nigger,0
2597,time place decaf coffee never trash humor via,1
1765,ahah fucking queer kill urself,0
2122,best asian massage brooklyn park slope top rated spa,1
1608,would cripple military,1
2452,lakers kobe trash,1
1931,trying follow spook offense,0
5,el negro,1
2070,proof thots retarded,0
867,karma bitch getting along fine real soon,0
486,u look like fat kid charlie walker got stuck chocolate tube,1
1435,lebron still bitch suck nigger hope die,0
80,got taxi right get oreo right possible,1
2152,craving brownie,1
781,want represent da life da colored man,1
1115,went gold cruz sound upper lower body strength hmm hr hitter say word,1
2027,man bitch gon na damn thang u like got say unfollow,0
131,yes da def da problem teacher spear chucker woulda gt dose rite,1
