text,labels
@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,1
محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,1
@user @user @user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قب… @user,1
لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج… @url,1
@user من يشرب بول البعير لا يعرف كيف يستخدم قنابل #السعودية #اليمن,1
خنازير رافضيه نفقت .,1
لو فيك خير اخذوك بنات جماعتك م اعرضت نفسك هنا كنك وحده بايره #ثلاثيني_وسيم_يرغب_بالزواج,1
انا متله متبرجة من سنة ويقدم ان شاءالله,1
شفيها لو طرشتي واتس تسولفين شوي مب لاازم فون مال ساعتين ترا مب كل الحريم لهن بارض هالكثر يسولفن والله,1
@user لا حلوين الحريم استاذ علي,0
@user لقد قتلوه بخسه وغباء وحقاره ووضاعه وبالتأكيد تألم انه قتل علي ايدي اقذر اهل الارض وبأمر من خنزير,0
خنازير البغدادي يتبنون العمليه مساء أمس..,0
عندما يختلط بول البعير ببول الحمير ففعل ما شئت . فقد رفع عنك القلم!!!,1
@user ممكن تبقي بايرة و نعمل جروب عوانس سواا؟؟,0
فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,1
@user @user @user تحتاج ان تفهم مشكلة اليمن اولا وبعدها نقدر نتكلم معك لا تنجرف مع خنازير الخنزيره,1
@user @user خنازير انجاس وخرفان اللهم انصر اخواننا بالسعودية وأهلنا بمصر عليهم يارب العالمين وتحيامصر تحيامصر تحيامصر,1
@user ي بول البعير شنو يعني عبد !!!,1
@user @user تخلف يا شاربي بول البعير,1
حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,0
متتزوجيش و تعيشي الحياة بدون مايقولو بايرة و مسكينة,1
بس وش اسوي لك إذا انتي مهبوله ولسانك وسخ يالوسخه,1
متحنش لحد باعك يا وسخ,1
هو بول البعير والكبسة يوصل لكدة,1
يارجال التحرش بقى الكتروني كوني اقول ليك منقا او اقول ليك بيبي ده يعتبر تحرش الى ان ياتي مهند شاد اوغلو فيصبح غزلا,1
أيد قادة الاتحاد الأوروبي الأسبوع الماضي بداية مفاوضات رسمية مع النظام المصري حول أزمة اللاجئين. هدف المفاوضات هو ا… @url,0
@user @user @user مجموعه خونه مطرودين من اوطانهم ولقو خنزير ابن خنزير ذميم يضفهم الشرهه على الرأس الكبير… @url,1
تكشف المرأة سبب التحرش!…,1
يبدو أنّك تحت تأثير بول البعير ، وقد تعفّن رأسك، حتّى صرتَ لا تفقه شيئاً في هذه الدّنيا، ولا تدري مالّذي يدور حوالي… @url,1
ماساكتاش.. هل ستقي الصافرة المغربيات شر التحرش؟ @url,1
لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,1
ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ. @url,1
@user ياخى اوسخ شعوب الدنيا السودانيين,1
تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url,0
@user @user قال الشيعه الصفوين الروافض الاباضيه الاباضيه الاباضيه أنت ينجس يطقعه تتوضا بول البعي… @url,1
@user @user اليمن مرمطة بسعودية وهي بدون سلاح مابالك بايران وهيا دوله مصنعه باتخلي الخونة أمثل… @url,1
@user @user والله اني في صنعاء وجنب المطر يا خنازير,1
@user @user انت رجاع خود جرعة من بول البعير ولا تدخل بيناتنا يا زق,1
أول مسلمتين في #الكونغرس_الأميركي - امريكا تتقدم و العربان يتبعون مسار بول البعير @url,1
بلاغ ضد هؤلاء الوافدين من الجالية #الروهينجا البنغال المتواجدين في مكة المكرمة و يتواصلون مع خنزير لندن سعد الفقيه.… @url,1
عرفت اليوم ليش سيئ طلع ذكرى ميلاد خنزير البرتغال,1
من هو العربي الحُر الاصيل اللذي يرضى بأن يحمكه في أرضه مجوسي فارسي خنزير !؟,0
@user @user اذا كان الخنزير  نتانياهو في الاردن و ثم في تركيا و عمان و يجتمع مع سعوديين، فلا يزال الخنزير خ… @url,1
من أعظم ماقيل عن قضيه التحرش من باسم يوسف @url,0
ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم… @url,1
@user @user انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,1
@user @user دراعه كان مصاب ياشارب بول البعير,1
سوبر ايه ي عم..... كاس افريقيا اهم,0
@user @user @user @user أني عراقي تاج على راسك يابدوي يا شارب بول البعير.,1
@user @user @user اشرب بول البعير وتعال,1
في خنزيره تزوجت خنزير وجابو عيال خنازير,1
كف   كموم     زنود  ثوبك    يدك ادخله    حان  وقت    اصلا    دود    علي  فران  هندوس,1
@user @user فئة خنازير,1
@user @user حاشا ..انتم مملكة بول البعير,1
هنعلم الناس تحترم المرأة المتعلمة الغير متزوجة ومتهينهاش بألفاظ زي بايرة بإننا نهين المرأة اللي بتربي العيال ونطلعه… @url,1
@user @user هدي اعصابك واشرب من بول البعير العراقي,1
ساقو الحريم وللحين ماسقت,1
شنو في الحريم صارت خدودهم چنهم مجمعين قات وبراطمهم بعد ونظرة العيون على كتر ... بس بقولوكم چنكم البطة تويتي منظركم… @url,0
@user @user مشاكل الجاليات  البورماوية و السوريين و اليمنة و الأفارقة  في بلدنا تتفاقم ولم نسمع بحل جذري  لهم,0
@user @user واحد يقول ليش سامي يكلم وحدة متبرجة ويضحك بعد ...,1
يستحسن ان يطلق عليه ابو  الدعاره  والعاهرات  خنزير تركيا   هذا اللقب يناسبه جدا @url,1
انتشرت ظاهرةالتحرش بالفتيات لتصبح هاجساًيرعب الآباءعلى بناتهن وخوفاًيصيب الفتيات نتيجةمايتعرضن له من إيذاء جسدي ونف… @url,0
: [@user @user تسمي التعاون مع الي قتلو نص مليون شهيد سوري قوه يا صرصور مو اسمها قوه اسمها خيانه ووساخه يا وسخ,1
@user @user ادعسو جماجم خنازير الفرس ادعسوا من غدر بالحسين واليوم يلطمون عليه مثل البهائم,0
من الجزائر بلد المجاهدين اكبر خنزير عرفته السعودية هو مح....بن سلمان اللذي يدفع لزوجه وسيده ترانب المليارات والمسلم… @url,1
@user @user تركي راحل نجس يكيد مثل الحريم التي ليس لا رجل او لجام من العفه و الحياء و الوقار يربطها,1
يوجد بتويتر خنازير,1
@user @user لو انها بنت سعوديه يالكلب الخسيس كنت تنابح ضدها متبرجه وكاشفه هههه اما ذي لا كويسه ابوك ياخروف,1
@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,0
صحبك اب سن مشرومة مجكس؟ — بايره ساي دا @url,1
@user @user دول خنازير مش خرفان,1
مصادر بالمفوضية : اللاجئون السوريون بحاجة لـ 96 مليون دولار لمواجهة الشتاء @url @url,0
ماشايفو قال حاجه غلط حوادث التحرش بتحصل كتير في المجال دا والطبيب في الاخير انسان زينا وممكن يتمادى ف الززل لو لقى… @url,1
@user @user نادي القرن لا يحتاج لشاربي بول البعير حتى تكون له شعبية والسعودية أصبحت لا تشرف أي مسلم عربي ب… @url,1
جدال بين فتاتين من الجمهور المشارك حول التحرش!,0
كل ما ابقى فالمواصلات او فالشارع او حتى فالشغل الحريم والبنات لابسين حتة طرحه ربع…,0
وانت بيض الله وجهك والله يستر عليك من خنازير ايران في الكويت . @url,1
فرق يوم يكون عندك لاعب يعادل فريق مثل هازارد ثم تروح لفريق اشبه بحظيرة خنازير يا كورتوا,1
اللاجئون وشبكات التهريب بهدف لم شمل العائلة @url,0
ديوث اختك او امك وتحب تديث,1
شرب بول البعير يخلق الهلوسة فااجتنبوه لعلكم تفلحون ههههههههه @user,1
صباح الورد و تباً لمجموعة الثمانين  خنزير @url,1
مع خنازير إنجلترا كي لا يدربهم #زيدان,1
اهنيهم حافظو على شرفهم رغم كثرة التحرش والترويض @url,0
@user @user @user لو كانت متبرجه تلقاها في جميع القنوات أولها القذره ام بي سي,1
@user @user @user @user فرض شرعي رباني  ماشغلك البحاسب ربنا حسب كلامك التحرش حرية شخ… @url,1
@user @user @user ههههههههع مصدق نفس هوه الي واجه الجيش العراقي  يا شارب بول البعير ما تسترجي على گولت اخوانا السوريين,1
@user @user بس مو كلّهم،وحتى احنا عندنا ناس لسانهم وسخ محنا ملائكه,1
@user @user لعنكم الله يا خنازير يا ابناء القردة,1
@user @user مملكة شاربي بول البعير,1
واما بعد الان فقرة التحرش الله يعينه الي تجي عليه عاد بعد ل١٠,0
برا يا خنازير يا مخنايث وخذو معكم جونز,1
- خنازير هالغرب,0
@user @user @user @user @user موكتلك بول البعير مأثر عليك ايران بحدودك روحوا حاربوها ان كنتم رجال,0
@user @user @user تشرفنا يا خنزير .. علي الأقل ننال شرف القضاء علي ارهابي نجس مثلك ونريح العال… @url,1
بالعادة المتسعودين المسعورين بيستعملوا المنشار تحت تاثير تناول بول البعير..!! @url,1
@user @user الاغلبيه متبرجه,1
@user @user @user بول البعير ولا بول المعمم ههههههههههه,1
@user @user @user اكيد ، شرابين بول البعير في وادي والشعوب الثانيه في وداي اخر,1
شفت قبل قليل امراة متبرجة و كتبت هذا الكلام على المنديل و خليت العامل يعطي المنديل زو… @url,1
نحن عرب لا نستحي ، تركنا خنازير تحكمنا بلا حياء ، حتى الغوا الإسلام ، وعاثوا في الأرض فسادا،نشروا الرزيلة من المحيط… @url,1
ما تفكر كل الناس متلكم يا شاربي بول البعير,1
بعد ازدياد نسبة التحرش في السنوات الأخيرة.. العراق يدرس قانونا لنشر قاعدة بيانات تتضمن أسماء المتحرشين فيما اعتبره… @url,0
شغل الحريم بلاش منه .,1
حوادث التحرش تحدث كثيراً في السودان وغيره، مسارها الطبيعي أن يتجه الطرفان إلى القانون وأحياناً تأخذ الفتاة حقها في… @url,0
ويجيك رافضي بهيم ويقلك سيدنا عمر كسر ضلع فاطمه  وسيدنا علي يتفرج  غيره سيدنا علي من السواك  علي فاطمه مابالك احد يكسر ضلع زوجته.,1
مشعل السديري - شعرة من جلد خنزير @url,1
شاهد: صاحب فيديو التحرش بفتاة التجمع في مصر يستفزها بفيديو يخرجها عن صمتها.. وترد: المنتقبة بيتحرشوا بيها @url,1
@user @user زي الكلاب تنزلون التغريده وودي اشوف وجيهكم وانتم تنزلونها ابو من جمعكم خنازير,1
@user @user @user @user عايزه تخصى العالم كله عشان متجوزتيش يا بايره,1
نصيحة لكِ..بلاش تعملي ريتويت لواحدة متبرجة او حطه صورة متبرجة.,1
@user @user @user في الدول المتقدمة و الي تقدر الحريات هذا الشي فخر اما عن دول البهائم و بول البعير و لار… @user,1
@user @user @user احب اقوليك م ضروري تكوني متبرجه عشان بتحرشو بيك....  طب ليه المنقبات نقاب اسلام… @url,1
عرفتوا يا خنازير ليه مش بديكم اهتمام,1
انها مثلت وعرضت قضية للعالم وانه الحلقة هادفة عادي!! التحرش كمان على مواقع التواصل الاجتماعي وهاي اكبر مثال @url,1
انك تبقي متمسك بحاجه انت عارف انها بتأذيك و الكل بيقول سيبيها و محدش فاهم قد ايه دا صعب فعلا..  ما احنا مش هندوس عل… @url,0
@user @user اللهم ذل خنازير آل سعود واخسف بهم الارض,1
@user @user اردوغان يعلم انه من تلاميذ المدرسة الخمينية المجوسية   ولكن متى يستيقظ خنازير العرب الاخونج… @url,1
@user @user مع الايام بتقول يحق لهم التحرش بالبنت اللي جالسه ببيتها ليش جالسه,1
أنا لو ارتبط بواحد وخلاص بنفركش اهو وايا كان مين فينا الغلطان *اذا ماكانش وسخ يعني* ف انا هقتله قبل ماامشي علشان از… @url,0
@user @user راعي خنازير الله يعز البل،،,1
@user @user @user بول البعير انظف منكم ومن نواياكم خلك ببلدك شيلو قمامتكم قبل ترمونها لغيركم  @user,1
@user @user @user @user لم اشتم الا اعداء #وطني خنازير #الفرس ولي الشرف بذالك في حال بادر بذالك… @url,1
@user @user انت واحد ابن زنا اشخاص مثلك اكدر اقطع جلدهم كل يوم تفو ابن خنزير مريض نفسي انصحك تروح طبيب,1
#ديوث موجود في العين تريد نتعارف كلمني ...,1
@user @user @user @user خنازير القرضاوي الله يكرم مخلوقات الطاهره عن الاخوان خونة… @url,1
طالبة مسيحة تتقدم ببلاغ ضد أحد قادة النظام العام بالقضارف بتهمة التحرش – صورة البلاغ @url,0
روبي (رانيا) بالفعل ما كانت منحرفة,0
@user @user السعودية لو أرادت التطبيع لفعلت ذلك يا خنزير,1
@user @user @user @user نحن كلاب المجوس يابن طاهر القرمطي؟,0
-يا بايرة يااللي كل دفعتك بقو مخطوبين.. !! @url,1
@user @user ع اساس ان خنازير المجوس احلوا السلام في اليمن والعراق وسوريا ولبنان وفلسطين,1
@user @user @user ياشارب بول البعير .. من وين انت عندك دين  حتى تتكلم فيه أنتم دينكم عبا… @url,1
@user @user @user كلبكم شمام  من فصيلة ريدبول البعير هذه فصيلة تم تهجينها من كلب البيدبول والريد بول,1
@user @user شرب بول البعير ليس مذكور في القرآن والحجامه ايضا . عندما تنتقد كتاب يجب عليك قرائته وليس ان… @url,0
@user @user التبن و بول البعير، يجي لكم يوميا من تحالف الشر و التأخر على اليمن.  انتم محتلين، من طاهش ال… @user,1
@user @user لو فتحنا باب الوصايه على الناس. هيقولو على حضرتك متبرجه وصدرك ال٥سم دا مفتوح. كل واحد حر فى ج… @url,1
لا تعشقي وهابيا سيحدثك في ليالي الرومانسية عن الجن و القبر و بول البعير ...,1
ولماذا يصدق اللاجئون سياسيين كاذبين بعد أن…,0
@user @user ليش اقلل من قيمة البخاري البخاري نقل للوهابية شرب بول البعير وهم على قوله ما صون لم نس… @user,0
@user @user اقول ..خليك على شرب بول البعير احسلك..لاتكون تخلط بول باكستاني معاه..,1
@user @user ابن خالتي انا #خنزير_ال_ام_كيه,1
@user @user هقولك ايه . شارب بول البعير فعلا,1
وقت قصة التجمع الخامس ما ضل حدا مصري ما كتب عن التحرش .. وقتها اشخاص عندي عالفيس مش حاكتب جنسيتهم بس مش مصريين فاتو… @url,0
خر ملا خنزير ملا داغه شراب خور ملا داهغه,1
ليمن تكون توك فال و تعلن عودتك حق التحرش بجميع الكائنات الحيه بتويتر و خارج تويتر @url,1
@user @user @user @user @user @user ههههههههه ماتوقع  فيه  اهانه  اكبر  من شرب  بول البعير,1
@user @user @user هذي متبرجه باليوم الوطني وغيره مودل الغفله,1
دخلت ابااشارك لأَنِّي احب الخيل بس ماش ناس عقولها وتفكيرها وسخ للاسف,0
نظرته شبه منحرفة,1
@user @user @user @user نعم يا محمد السودان فيه هندوس ليهم 50 او 70 سنه متواجدين في الخرطوم وا… @url,0
@user @user اه مبدعين ب اكل الكبسة وتحدي الاكل على اليوتيوب وشرب بول البعير والتفكير بالفرج وكيف… @user,1
@user @user @user @user اولا هم ليسوا جرب الا ان كنت فارسي,1
بعض الحريم تروح السوق بدون أطفالها,1
يعني ي جماعة التحرش جريمة مرضية مفروض يتعاقب مرتكبها  ....واهمال الدين واللبس الشاذ من العوامل البتساعد فيها عموما ...,1
خنازير في حضائر مجوسية فلسفية متخصصة في تحطيم الفطرة الإنسانية؛,1
بني سعود ومملكتهم إلى الزوال .بني سعود أبناء قردة وأبناء خنازير وأبناء شياطين وطغاة وقتلة الأطفال والنساء والعجزة ل… @url,1
@user @user ايضا اصبح خنازير البنا يستقون اخبارهم من الصحافة اليهودية وهذا شئ لابد للانتباه له فعندما… @url,1
ويجي سعودي شارب لتران من بول البعير ويرد عليك,1
@user @user عسى بول البعير علاجك وتشربه ولا ينفعك اطهر بلد دعى سيدنا براهيم ان الله يحفظها فستجاب له ولله الحمدددد والمنه,1
@user @user @user @user و حضرتك مش شايف قوادين خنازير البنا كاتبين العنوان ترك… @url,1
لاتنسى الي صار بينهم وبين الجزائر في مبارة التاهل بكاس العالم التاريخ مايرحم المصريين لسانهم وسخ @url,0
@user @user @user فعلاً من ديت لي ديت والله بايره انا دي ي مونياه,1
بعض الدكاتره والاساتذه بالجامعه يستغل مكانه الاكاديمي في التحرش بالطالبات,0
كليتنا ناقص بس اطبق علينا التحرش الجسدي وبتكون ختمت كل انواع التحرش.,0
@user @user مش بقلك طيازكم بدل أمخاخكم....معلش هتعرف منين تاريخ ياراعى الغنم والابل يامحدث ياشارب بول البعير،،ع… @user,1
حينما تكون هي متبرجة لا يعني ذلك أن يكون قَدْرها الازدراء والتحقير والعبوس بوجهها أو الجور في حقها أو حتى اتهامها…,1
كل المنظفات ديه و برضو اخترت تبقى وسخ معايا @url,1
اون سبورت بالنسبالهم كسم كلام الحريم اللي بيتقال,1
خنزير @url,1
وسخ فشخ ان يبقى في حد طول الوقت قاعد مراقب تصرفاتك و حاطك تحت الميكروسكوب و بي-comment على كل حاجة بتعملها -و دايم… @url,1
ودي اكل لحم وانا مدري يطلع خنزير ومقلب عشان نضحك ونكون جربنا بنفس الوقت,1
@user @user خنازير البنا,1
@user @user @user وبعدين مممم انا صراحه من النساء الي احتاج السواقه فعلا لكن اخاف من التحرش وقلة الح… @url,0
تم عقد الاجتماع الأول لطلاب التوعية بمدرسة سعد بن معاذ الابتدائية،  والذي هدف إلى بيان أهداف الجمعية من تنمية مهارا… @url,0
@user @user لولا خنازير الغرب ما نبح كلب مجوسي في ارض العرب.,1
@user @user بس ياكبسه يابتاع بول البعير,1
@user @user تحريات خنزير اجرب @url,1
@user @user @user خنازير,1
يظل التحرش تحرشا.... حتى يأتي من الرجل المناسب فيسمى غزل @url,1
يظل التحرش في نظر الانثى تحرشاََ,0
خال يشق طيز زوجه ديوث..@url,1
@user و انت معتنق دين بول البعير,1
هذا السوق إمتداد لشارع الغربللي مقابل سوق الحريم إلى سور المقبرة   حديق…,0
كارتيرون فارس الفرسان.. ينتشل الأهلي من قاع إفريقيا إلى تاج الأميرة السمراء,0
@user @user لن يذهب إلى الأسد الا خنزير مثله,1
خنازير وفطسوا @url,1
@user @user @user @user انت روح اشرب لك كوبين بول البعير بتاعكم وانت تبئه كويس انشاء الله… @user,1
@user @user @user @user بالله فين العنف الدنيا كلها تعج بالحريم لو في عنف ماشفناهم غيييير المق… @url,1
الأرق دا شىء وسخ جداً .,0
@user @user حصل حصل الان سب شعب كامل من بعض متخلفين مصر بشاربي بول البعير وغيره من قذف في الشرف ، الح… @user,1
هؤلاء ارهابيين صنعتهم دول ارهابيه بريطانيا سابقا وحاليا امريكا والصهيونيه هي من ورطت شاربي بول البعير في ارتكاب الم… @url,0
@user @user الرحمه لروحها، واللعنة علي أمه المليار،، و خنازير ال سعود,1
ذا اخر من يتكلم هو وقضايا التحرش حقته. @url,1
@user @user ثقافة بول البعير كارثة,1
طبعا لانها بتشرب بول البعير و بتخلف ذباب الكتروني @user,1
@user @user لاحظو حجم الأسى الذي سببته السعودية العظمى لإيران وبوقها الإعلامي الخنزيرة.,1
@user @user طيح الله حظهم وحظ عمامتهم الوصخة لابسين عمايم وهمه خنازير اني مشايفة خنزير يلبس عمامة,1
لما تقفش مع خطيبتك فتروحلهم البيت بس أبوها اللي يطلعلك ويقولك يابني بنتنا مش بايرة وزي ما دخلنا بالمعروف نخرج بالمع… @url,0
@user @user @user @user @user حياتي اذا كتبت خنازير اكتب وراها كلاب مب كل… @url,1
@user @user الم تملوا من اثارة الفتن يا خنازير الجزيرة؟,1
أسؤء شئ يمكن أن تراه فى حياتك أن يسخر انسان مصرى من احد الافارقة فى المترو ويضحك على تسريحة شعره او بشرته السوداء .… @url,0
#سعوديات_نطلب_اسقاط_الولايه800 الولاية تكون على القاصر والسفيه والمجنون,0
@user @user @user @user طب مش عيب يبقي خنزير ويبقي بلحة ويلبس مرشدكو النقاب ويخليكوا ك… @url,1
ي خنازير بن زايد,1
@user @user قدمو أو لم يقدموا هم فقط ناس بشر حالهم مثل حالك بس الاختلاف مايشربون بول البعير أو يأكلون زواحف الصحراء,1
منو موصل له كلام وقايل له اني بايره ؟ @url,1
تأثير شرب بول البعير على بني سلول. @user,1
تم ايقافي عن البيسيات بسبب التحرش باحد المضافين,0
@user @user بول البعير مين يا بنت صليب الكلب يا مرشومة,1
@user @user @user @user بول البعير أفضل من شرب الخمور والدعاره !!,1
اهل الشام احتضنوا العراقيين الشيعة والصفويون مرتزقة حسن وقبلهم الارمن فكان الرد هو الغدر ،،، خنازير لا يؤمن شرهم,1
وكأن مشاعرنا زرار هندوس عليه هننسى كل شئ بسهولة كده,0
يظل التحرش بالنسبه للأنثى تحرشاً,0
@user @user التحرش ماله مبرر,0
شاهدوا اين وصلت خساسته ... وهو بيننا .. البعير يا خنزير بريطانيا .. في صحاري جميع دول الخليج ايها العفن المجرب  . م… @url,1
