_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,languagecomment:confidence,articletitle,text,bodylen,insdt,languagecomment_gold,link,serial,words
1222281204,FALSE,finalized,3,4/28/2017 09:35:40,0,0.6571,هاموند: إذا أصرت إيران على الأسد فلن نتفق,للمرة العاشرة ... القافلة تسير. ....,36,39:36.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/21583699-9d30-4eae-b423-74220ac50c0e,5800,6
1222303673,FALSE,finalized,3,4/30/2017 21:09:52,0,0.6678,لماذا يسعى نصر الله لتوسيع مشاركته بحرب سوريا,والشيعى قال الحقيقة فمن يدعم ايران ضدالعرب هى قطروالامارات والسعودية,68,43:09.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/22a74afc-7903-4e0a-932a-944f96e03ec6,51197,10
1222290106,FALSE,finalized,3,4/28/2017 20:48:37,0,1,من يتحمل مسؤولية استهداف المدنيين في تعز؟,فين تعليقاتي ؟؟؟؟؟,18,48:36.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/22d6e137-1b10-43ae-9436-ce4dddfb9ece,23969,3
1222303492,FALSE,finalized,3,4/30/2017 19:33:45,0,0.674,هل حقق تنظيم الدولة شعاره بعد توسعه بسوريا والعراق؟,ما سر قوة تنظيم الدولة ؟,24,48:15.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/240e6ef6-4f2c-41ff-a1b8-2bd434d41c2d,50860,6
1222303410,FALSE,finalized,3,4/30/2017 19:23:11,0,1,"هل حقق تنظيم الدولة شعاره ""باقية وتتمدد""؟",تفكيرك منطقي، بالنسبة لشخص لايؤمن بالله واليوم الآخر، أما من رضي بالله ربا والاسلام دينا ومحمد صلى الله عليه وعلى آله وصحبه وسلم رسولا، فلا دين ولا حكم يرضيه إلا حكم الله. لكم دينكم ولي دين.,190,44:25.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/240e6ef6-4f2c-41ff-a1b8-2bd434d41c2d,50735,36
1222302374,FALSE,finalized,3,4/30/2017 13:41:16,0,1,"هل حقق تنظيم الدولة شعاره ""باقية وتتمدد""؟",و تتمدددددددددددددددد,21,04:21.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/240e6ef6-4f2c-41ff-a1b8-2bd434d41c2d,48502,2
1222279862,FALSE,finalized,3,4/28/2017 08:28:54,0,0.6754,الإسلاميون داخل النظام العلماني,هذا التقرير ينقصه اسماء وصفات الضيوف,36,40:21.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/2590a5b1-7e79-485a-8293-cfdd87b62b1a,3138,6
1222296627,FALSE,finalized,3,4/29/2017 15:48:02,0,1,المقاتلون الأجانب في تنظيم الدولة,فلا تقرا تعليقى,15,38:58.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/25ab7eec-a652-4d5c-9d68-8b4ea1aa8c6d,37289,3
1222310464,FALSE,finalized,3,05/03/2017 02:15,0,0.67,عجلة السياسة اليمنية بعد ثلاثة أسابيع من العاصفة,ثلات اسابيع من الاعتداء,23,28:32.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/25ac74a7-2b45-4ac7-a01e-2ce6f0b75aa9,65175,4
1222280034,FALSE,finalized,3,4/28/2017 08:36:38,0,0.6668,سبعة أشهر على عاصفة الحزم.. حصاد السياسة والميدان,الامارات تسحب قواتها من اليمن بعد مقتل العشرات و جرح المئات من جنودها بعد ان ادركت ان اليمن مقبرة للغزاة.,105,29:07.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/271996a3-0e40-447b-8956-f5606722efc9,3516,20
1222307902,FALSE,finalized,3,05/02/2017 03:13,0,1,دلالات فوز الكتلة الإسلامية بانتخابات جامعة بيرزيت,اعجبني الثوب الفلسطيني المطرز الذي ترتديه  سيدة الاخبار العربيه ايمان بنوره.,76,57:57.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/28ea841f-7a96-48bf-b322-563c859e52b0,60081,11
1222287961,FALSE,finalized,3,4/28/2017 16:27:36,0,0.6667,الحرس الوطني العراقي.. السيئ والأسوأ,خيل خوبي!,9,50:15.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/29be26c8-e53e-40f4-bd48-42284d05029d,19444,2
1222293454,FALSE,finalized,3,4/29/2017 08:41:16,0,0.3439,من السوري من وجهة نظر الأسد؟,كلاب البعث أكثروا النباح فقد خرج القطيع من الحظائر وصار لكم ند شديد,67,48:51.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/29bf944d-d752-4f59-83c9-5cbf42eb3158,30771,13
1222278932,FALSE,finalized,3,4/27/2017 15:48:36,0,1,هل بات العالم أمام لحظة نادرة لإنهاء الصراع بسوريا؟,يا عمي متى سوف يتوحد أهل السنه تحت حاكم واحد والله ربنا سوف يعاقب عقاب كبير,75,01:36.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/2b835c06-43ba-4062-b045-71f1a1b3a44f,1206,16
1222288780,FALSE,finalized,3,4/28/2017 18:33:37,0,0.6656,لاجئو سوريا.. تداعيات صراع تحولت لأزمة,كان الأفضل لكم قراءة صلاة الموتى .,34,02:47.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/330f270c-4f77-4a66-84e0-10d55d49fe10,21165,7
1222288683,FALSE,finalized,3,4/28/2017 18:26:33,0,0.6601,لاجئو سوريا.. تداعيات صراع تحولت لأزمة,انه ليس صراع بل ثورة على حكم اليهوذ وذلك  ثمن كل من يسعى للتحرر منهم وواجب,74,33:53.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/330f270c-4f77-4a66-84e0-10d55d49fe10,20967,16
1222291650,FALSE,finalized,3,4/28/2017 23:39:38,0,1,الهدنة بين المعارضة السورية وإيران.. كيف ولماذا؟,"اقرأ التورات سفر دانيال ٥ العدد ٢٨ فرس, قسمت مملكتك اي بابل سوريا الكبرى, و اعطيت لمادي اي الكرد و فارس اي ايران",112,25:51.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/3338f39e-66ad-4624-8237-5fd1c92bd984,27413,23
1222298575,FALSE,finalized,3,4/29/2017 22:38:34,0,0.6565,دلالة اغتيال النائب العام المصري,والله ان الموت قليل على هؤلاء فقد اجرموا بحق الآلاف من ابناء هذا الشعب بدون جريرة ارتكبوها فلو مات امثال هذا المجرم الف مرة لكان قليل عليه,138,25:46.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/33bb5f7e-e37f-48f5-a057-61e08f3ca2ea,41045,27
1222298506,FALSE,finalized,3,4/29/2017 22:19:29,0,1,دلالة اغتيال النائب العام المصري,مكان,4,51:01.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/33bb5f7e-e37f-48f5-a057-61e08f3ca2ea,40925,1
1222298382,FALSE,finalized,3,4/29/2017 21:42:42,0,0.6667,دور إيران بتفشي العنف الطائفي بالمنطقة,دور إيران في نشر الطائفية أقل من واحد بألف عن دور السعودية التي تكفر الطوائف والمذاهب الاخرى وتقصف وتفجر المساجد والمستشفيات وترسل الانتحاريين إلى دول الجوار,157,56:44.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/369970eb-b3a0-4137-8d18-db52974e2045,40692,26
1222298000,FALSE,finalized,3,4/29/2017 20:41:14,0,1,داء السكري خطر يهدد المواطن العربي,"بنظري أن أهم عامل للحد من انتشار المرض ضرورة توعية الشباب بعدم الزواج بين من يعانون من مرض السكري وهذا يحتاج الى جهد مضاعف بدل التركيز على ""منع الحمل"" !!",153,52:37.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/36eb5528-ea6d-4dce-ad7b-19f031fb095c,40024,30
1222288064,FALSE,finalized,3,4/28/2017 16:59:09,0,0.6688,حماة الديار.. أم مليشيات أسدية؟,للجموع صيغ وقواعد وكل اللحن في غزل هجاء بتأنيث المذكر ؛ تعني إخفاق إعراب وألفية عصر٠,84,01:07.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/37ba7253-a413-4633-8e5a-ba059d64abf2,19672,16
1222302191,FALSE,finalized,3,4/30/2017 13:20:31,0,0.6738,"الجولاني: إخوان مصر انحرفوا.. وتنظيم الدولة ""خوارج""",هل يذهب الاستاذ احمد منصور الي الدولة الاسلامية؟؟؟؟,51,55:28.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/386ea0ad-34e1-4754-8019-63c679604a24,48155,8
1222302156,FALSE,finalized,3,4/30/2017 13:29:04,0,0.6784,"الجولاني: إخوان مصر انحرفوا.. وتنظيم الدولة ""خوارج""",سمعت و الله اعلم او ربما قرأت ان مسألة وأد عمر رضي الله عنه لابنته في الجاهلية رواية خاطئة و غير صحيحة :),105,15:06.8,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/386ea0ad-34e1-4754-8019-63c679604a24,48079,23
1222302137,FALSE,finalized,3,4/30/2017 12:58:58,0,0.6668,"الجولاني: إخوان مصر انحرفوا.. وتنظيم الدولة ""خوارج""",یا اسفا للجزیره!!!!!  لماذا لم تنشر رایی!!!؟اهکذا طریقه الاحرار؟!!,66,49:31.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/386ea0ad-34e1-4754-8019-63c679604a24,48032,9
1222302130,FALSE,finalized,3,4/30/2017 12:55:49,0,0.6657,"الجولاني: إخوان مصر انحرفوا.. وتنظيم الدولة ""خوارج""",الحولاني ؟!,11,44:47.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/386ea0ad-34e1-4754-8019-63c679604a24,48021,2
1222302110,FALSE,finalized,3,4/30/2017 13:22:19,0,0.6748,"الجولاني: إخوان مصر انحرفوا.. وتنظيم الدولة ""خوارج""",يالله فيلم هندي,15,26:55.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/386ea0ad-34e1-4754-8019-63c679604a24,47991,3
1222280184,FALSE,finalized,3,4/28/2017 08:42:53,0,0.6782,دلالات تقدم المعارضة السورية رغم القصف الروسي,انها ثورة الشعب السورى للتحرر ولن سيغلبها الاستعمار الصهيوروسى صفوى ابدا والله ينصر الشعب السورى امين,101,36:55.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/3a1b63ce-25c2-4936-be56-cd89197d0830,3783,16
1222300655,FALSE,finalized,3,4/30/2017 09:18:42,0,0.6492,انعكاسات طرد تنظيم الدولة من درنة الليبية,نفس التعليق في عدة مقالات: هذا ليس مجرد رأي بل تحريض على العنف. انتبهو لمن يريد أن يعود بنا إلى الوراء,102,45:14.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/3ab564c3-d0f7-452e-ba61-2a7ee4015adf,45152,21
1222290426,FALSE,finalized,3,4/28/2017 21:12:41,0,0.673,لماذا تستعصي الزبداني على النظام وحزب الله؟,ربما لان الملائكة يقاتلون مع الثوار المتعددو الجنسيات كما قاتلوا معهم في حمص والقصير,84,44:55.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/3abe0bf2-dc16-44ff-adb2-caec6417c608,24638,14
1222278741,FALSE,finalized,3,4/27/2017 15:32:21,0,0.6635,هل توقف إجراءات فرنسا الإرهاب؟,"""قل للذين كفروا ستغلبون""",24,18:57.0,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/3b8da4b8-0d09-4dee-a16f-0e15b4575ae4,767,4
1222287130,FALSE,finalized,3,4/28/2017 15:22:15,0,0.662,الدور الروسي في الشرق الأوسط.. إلى أين؟,الانتصارات التي يحقثها المجاهدون في سوريا خاصة جيش الإسلام في ريف دمشق تقول للروس والإيرانيين : نصر الله قريب ..,112,16:25.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/3ce573ec-90b4-4b68-90b4-741ff46d1b19,17680,20
1222289267,FALSE,finalized,3,4/28/2017 19:18:21,0,0.6688,قصة هيروشيما وناغازاكي.. والطريق الساحر بأميركا,سلاح ذري وليس سلاح نووي من فضلكم في الدقيقة 2.40.. من الفيديو,61,12:28.8,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/41d18cef-739f-4906-9527-02ec5124633c,22300,12
1222286967,FALSE,finalized,3,4/28/2017 15:55:57,0,0.6698,هل هناك تناقض بمواقف الغرب إزاء مصير الأسد؟,لن تحصل الأمة على أي حق من حقوقها داخليا أو خارجيا بمعزل عن الشرع والجهاد ولو ظلت تحاول في غير هذا الطريق آلاف السنين ما وصلت لشيء,130,06:53.2,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/43177d6a-0cfd-462f-8735-43aad122af92,17303,27
1222288149,FALSE,finalized,3,4/28/2017 16:57:42,0,0.6542,واشنطن والرياض.. نحو شراكة إستراتيجية,شراكة السعودية وأمريكا تكمن في خلق الازمات والحروب في المنطقة وفي الحرص على أمن إسرائيل,87,52:55.0,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/462285b8-1a35-434f-a61c-4bb0adbbd52e,19819,15
1222293844,FALSE,finalized,3,4/29/2017 09:45:34,0,0.6467,العرب والأقصى.. بين الفرجة والمسؤولية,الدراسات القرانية تؤكد زوال اسرائيل  العام ٢٠٢٥,47,27:19.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/48c3ceae-bd74-4bd7-849d-b23474649e96,31631,7
1222302208,FALSE,finalized,3,4/30/2017 13:20:57,0,0.6748,لماذا بايع شيوخ من عشائر الرمادي تنظيم الدولة؟,لا يشتغل الفيديو !!!!,21,03:00.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4abe3a6b-4c17-4cfa-a291-1b6889290adb,48183,4
1222302014,FALSE,finalized,3,4/30/2017 12:37:19,0,0.6568,لماذا بايع شيوخ من عشائر الرمادي تنظيم الدولة؟,"شيخ خليل أحطب مااستطعت, لن تعفيك أعراض الشيخوخة من طعنك في اعراض الناس, ثم تزعم أنك مسلم: بسم الله الرحمن الرحيم, وإن جهنم لموعدهم أجمعين لها سبعة أبواب لكل باب منهم جزء مقسوم.",176,36:36.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4abe3a6b-4c17-4cfa-a291-1b6889290adb,47821,33
1222282987,FALSE,finalized,3,4/28/2017 12:16:23,0,0.6701,الإعلام المصري.. كوميديا سوداء أم فوضى مصطنعة؟,"مشكلة عويصة جــــدا ¡¡¡٠
من حيث الشكل ¡¡¡ ومن حيث أنه يصعب أن توصف ٠
أنا نسيت ؛ إنتو فاكرين أنا ليه نسيان على طول ؟٠",116,00:54.3,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4ac90867-c6cc-4c51-b610-894f5809b468,9200,24
1222282965,FALSE,finalized,3,4/28/2017 11:43:43,0,0.6697,الإعلام المصري.. كوميديا سوداء أم فوضى مصطنعة؟,95% ممن تستضيفوهم الجزيرة للتعليق على الاخبار المصرية من اتجاه واحد معاد للنظام الحاكم حاليا فى مصر مما يجعل الحيادية شئ صعب المنال,131,40:26.2,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4ac90867-c6cc-4c51-b610-894f5809b468,9170,23
1222295455,FALSE,finalized,3,4/29/2017 13:37:39,0,0.6698,بلقيس اليمن.. بين الطموح وقيود الواقع,اعدكم بزوال الخمارات والدسكو والمشروبات الروحي وانها تختفي الى غير رجعه والدعاره لن تعود الى عندن .,99,22:11.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4d1acaa1-f438-4bbd-8e7d-65b24ae8cd0c,34835,17
1222305770,FALSE,finalized,3,05/01/2017 10:42,0,1,بشارة: سوريا بحاجة لاتفاق على عملية انتقال سياسي,لاتسب ياخي رد بكلام منطقي او اسكت تسلم من الذنوب فكل انسان يؤمل فية الخير مالم يغرغر والنبي (ص) لم يكن سبابا,108,37:36.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4da8ee3f-2039-42b0-b1d7-f565d8026408,55360,22
1222292757,FALSE,finalized,3,4/29/2017 04:41:36,0,1,الصادق المهدي: بريطانيا خططت لتقسيم السودان عام 1922 ج2,أريد أن أصحح اسم الرئيس الزعيم (إسماعيل الأزهري) لا (إسماعيل الجوهري) والله يرعاكم,82,44:12.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/4e22a032-58c1-4500-b7d7-0838cce78da2,29446,13
1222293476,FALSE,finalized,3,4/29/2017 09:14:22,0,0.6561,هضبة الجولان.. سقطت أم سُلمت؟,عزيزتي كنهديك هدا البرنامج عن المقاومة و الممانعة السورية لاسرائيل,66,05:41.0,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/53c60758-c718-4560-983b-33bd2b73a259,30845,10
1222302402,FALSE,finalized,3,4/30/2017 14:01:13,0,1,المعارضة السورية.. التقدم الميداني والمسار السياسي,طبعا المسارالسياسىمهم وبناء المؤسسات من جديدوكماحثت عليه الثورة العربيةالمجيدة وعليه قامت وتظحىشعوبنا العربيةلسورية الحبيبة,123,48:46.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/5652803d-3ed7-43dd-95d3-496a9a487780,48566,14
1222309003,FALSE,finalized,3,05/02/2017 14:15,0,0.6691,هل تفضي أزمة اليمن لمواجهة بين السعودية وإيران؟,الحرب بين الفرس و قريش علىى الابواب.اللهم اهلك الظالمين بالظالمين واخرج من بينهم اهل غزة سالمين غانمين.,103,14:59.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/58536919-fd08-47a0-ad88-5467ef55badc,62410,17
1222289274,FALSE,finalized,3,4/28/2017 19:17:31,0,0.6688,دعم السيسي للأسد.. سياسة أم ابتزاز؟,دعم قطر و الجزيرة للاخوان و الجماعات التكفيرية و الجهادية هل هو ابتزاز للدول العربية ام دعم سياسى ؟؟؟؟؟؟؟؟؟؟,108,01:09.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/58e15b9d-44d7-48c2-8c13-d83d446c9042,22310,19
1222289269,FALSE,finalized,3,4/28/2017 19:17:31,0,0.6688,دعم السيسي للأسد.. سياسة أم ابتزاز؟,كامل احترامي للسيد ريان، طريقة ادارته للبرنامج لاتقارن بالمبدع فيصل القاسم .. ليس تقليلا من شأن ريان الذي تغلب عليه العاطفه  حتى في نشرات الاخبار  اذ ان هذا البرنامج مخصص للصراخ لا للعواطف,188,59:08.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/58e15b9d-44d7-48c2-8c13-d83d446c9042,22302,33
1222289215,FALSE,finalized,3,4/28/2017 19:11:36,0,0.6612,دعم السيسي للأسد.. سياسة أم ابتزاز؟,أين الدكتور فيصل القاسم؟؟؟,26,49:44.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/58e15b9d-44d7-48c2-8c13-d83d446c9042,22206,4
1222299247,FALSE,finalized,3,4/29/2017 23:51:40,0,1,جنوب السودان.. بلد الأحلام المجهضة,الحرب المصلحة بين مجموع رياك وكير ومجموعالاخرع هذا حرب ليس لشعب الجنوبي بلا لمجموعات المصلحة ،وكل قائد في جيش عندو قواد بزات نفسه ،,131,40:15.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/59765cdc-83c4-4392-86e5-ba7568aed436,42481,24
