#,type,text,label,aggregatedAnnotationConfidence,annotator1,annotator2,annotator3
128,C6,لا تنسى انك شاركت في ذبح و حرق من لجئوا الى المساجد يوم ارتكبتم مذبحة رابعة ..!,0,1,0,0,0
129,C7,هو انتا معانا من نفس الكوكب يعني؟ حضرتك متعرفش انه قدم استقالته قبل الفض؟,0,0.6667,0,0,-1
130,C8,وبعد الحرس والمنصه #البرادعي  اكبر مقلب اخدته هل هو فعلا صدق ان #السيسي حيخلع رئيس علشان يعمل ديموقراطية #مصر,0,0.6667,0,0,-1
133,TWEET,مازلنا ندمر انفسنا فى العالم العربي تحت وهم إمكانية سحق الاخر.العالم متخوف منا ويستغل فرقتنا وضعفنا.مفتاح الحل هو ضمان حرية الانسان وكرامته.,0,1,0,0,0
135,C2,رئيسك الشرعي نفسه في خطابة رجال من ذهب وكمان رئيسك وقف بالمرصاد ضد من يحاول النيل من طنطاوي وعنان,0,1,0,0,0
136,C3,حاول استيعاب العسكر وارجاعهم للدولة والوطن فغدروه وطعنوه بالظهر وانقلبوا عليه ونظام حكمه الشرعي المنتخب كل من يقول غير ذلك منافق,0,0.6667,-1,0,0
137,C4,هو أي معارض يبقي منافق هو اصلا ساعدهم كثيرا وبرر مذابحهم تقولي حاول ارجعاهم كفاية تبريرات واهية,0,0.6667,-1,0,0
140,C7,حضرتك الاعتزار وحده مش كفايه لابد وإن كان صادقاً واشك فى ذالك أن يقوم بتدشين حمله برعايته فى أوربا لإسقاط الإنقلاب,0,0.6667,0,0,-1
141,C8,ما أجملنا ونحن ننّظر عن الحرية والكرامة وما أسوأنا عندما نطبق اعذرني انت مثال على ذلك,0,1,0,0,0
142,C9,طريقنا يبدأ من لا لقانون التظاهر.. #الامناء_اسقطوا_قانون_التظاهر #حريتهم_هى_حريتنا,0,1,0,0,0
143,C10,إنْ سَألوكَ عَنْ العَدل في بلاد المُسلمينْ فَ قل لَهُمْ ان عُمَر قد ماتْ يَا بوب ,0,1,0,0,0
144,TWEET,هل يمكن للعرب الاتفاق على خطة مشتركة لاستقبال  اللاجئيين السوريين -كما يفعل غيرنا- حتى تنتهى المذابح ام ان هذا خارج إطار الإخوة العربية؟,0,1,0,0,0
145,C1,ولماذا استقبل الغرب السوريين الان ولم يُستقبل الفلسطنيين الان او فيما قبل؟ و هل هي خطة لتفريغ الارض.. ندعم الانسانية و لكن!,0,1,0,0,0
146,C2,سؤالك مهم جدا ومحور مايدور باختصار,0,1,0,0,0
147,C3,الميديا و الانسانية في صراع من اجل تفريغ الارض و تقليب ما تبقي من شعوب شبه مستقرة !,0,1,0,0,0
150,C6,اوردوغان يقتل و يشرد الأكراد و لكن عندما وجدوا جثة الطفل السوري الكردي علي شواطئ تركيا هاج و ماج  وهاجم الكل !!!!!,0,0.6667,-1,0,0
151,C7,العرب محتاجين يفهموا يعنى ايه انسانيه الاول,0,0.6667,-1,0,0
152,C8,و الله عندك حق بس ممكن برضو تقولنا هتتلم امتي عن كواليس مذبحة رباعة لان ده حق الناس عليك كةنك وقتها كنت جزء من السلطة ؟,0,1,0,0,0
153,C9,هتتكلم ** طبعا يعني انت شاطر يا محمد و مش محتاج اصححها بس برضو للتأكيد يعني,0,1,0,0,0
154,C10,لا يابوب العرب مشغولين بحرب الأخوان أللي عوزين يسرقو منهم العروش بتعتهم اللي هم ورثنها من الاحتلال.ويدفعون عنها حتي بقتل شعوبهم ,0,0.6667,-1,0,0
157,C2,... محمد البرادعي رمز افتخر به ولكن الاغلب يجهلون مواقف هذا الرجل العظيم.,0,1,0,0,0
160,C5,طيب مابنقول لكم نورونا عشان مانكون جهلة.. افيدونا باعمال الرجل الرائعة عشان نقارن ونشوف,0,0.6429,-1,0,0
161,C6,تقرير البرادعي اثبت ان العراق مفيهاش أسلحة دمار شامل و انها مبتسعاش تصنع .. يبقي ازاي دمرها ؟!,0,1,0,0,0
162,C7,حسب الحاجة ،،، ولم يصدر نفي واضح عنها الي انتهاء الحرب وتدمير كامل البنية الصناعية للعراق,0,1,0,0,0
163,C8,قريره دقيق جدا بقوله لم اجد في العراق اسلحة دمار شامل  ولايستطيع ان يقول لايوجد اسلحة دمار شامل!,0,1,0,0,0
164,C9,حرب العراق كانت قرار امريكيا وليس قرارا دوليا فتقرير البرادعي جعل غزو امريكي غير مشروع.,0,1,0,0,0
166,TWEET,"هل هناك من سيفهم يوما ان الإفراج عن الشباب المحبوس ظلما او بمقتضى ""قوانين"" جائرة هو خطوة حتمية لبدء حلحلة الاستقطاب البائس #حريتهم_هى_حريتنا",0,1,0,0,0
167,C1,يادكتور النظام دا بيصنع نهايتة بإيدة #حريتهم_هى_حريتنا، انزل مصر يابوب,0,1,0,0,0
168,C2, انا شايفه مفيش قايدة,0,1,0,0,0
169,C3,هو بصراحه لو فعلا مفيش فايدة ، ف مفيش فايدة فينا احنا,0,1,0,0,0
170,C4,طب نعمل ايه اذا كنت اصلا لما بتفتح لوقك و تفكر تناقش الصنفين سواء السيساويه و لا الاخوانجيه كانك بتكلم صخر,0,0.6154,-1,0,0
171,C5,الصنفين دول في صراع تاريخي لا ذنب فيه للشباب اللي عايز يشوف تغيير حقيقي. علشان كده الصنفين بيخافوا من البرادعي.,0,1,0,0,0
172,C6, التغير هيحصل هيحصل عاجلاً ام اجلاً,0,1,0,0,0
173,C7,يا ريت بس التغيير الحقيقي ممكن يأخد شوية وقت. محتاجين صبر و نفس طويل.,0,1,0,0,0
176,C10,"لن نصمت  لن ننسي  وربما  ربما نصالح!""",0,1,0,0,0
177,TWEET,هل سنستمر فى تدمير أنفسنا في اليمن وليبيا والعراق وغيرها لصالح الاٍرهاب، قبل ان نكتشف بعد سنوات(سوريا) ان حل سياسى للعيش معا هو الحل الوحيد؟,0,1,0,0,0
178,C1,"""محدش فاهم ولا عاوز يفهم.. اغلب حكامنا معتمدين علي الظلم والبطش بالشعب، وخصوصاً اي صوت معارض..!! #حريتهم_هي_حريتنا""",0,1,0,0,0
179,C2,كل حكامنا يعرفون من أين تأُكل حقوق حريات الشعب بجعل كلمت امن الوطن والجيش وقل ماتشاء علي من تشاء,0,1,0,0,0
180,C3,وهل الحل السياسي هيعيد اللي مات أو يرجع اللاجئين بلادهم دون تعرضهم لمضايقات، للأسف الوقت اتأخر لكل الدول المذكورة ..مستنين معجزة,0,1,0,0,0
181,C4,مستنيين معجزة > مستنيين نونة #مقدرتش,0,0.3571,0,-1,-2
183,C6,هو مش كان معترض على الحل السياسى امبارح ؟ ولا انا فهمت غلط ؟؟؟,0,1,0,0,0
184,C7, راجعي كلامه،  أكيد ﻷ,0,1,0,0,0
185,C8,لا هو مش عايز حل سياسي في سوريا،، بس عايزه في الباقي .. او ده اللي انا فهمته,0,1,0,0,0
186,C9,فهمتيه منين؟,0,1,0,0,0
187,C10,التويت بتاعة سوريا اللي كانت من يومين تقريبا,0,1,0,0,0
189,C1,في المحروسة خاصة والعالم العربي عموما لاتوجد أولويات سوي تمكين الحكم وتثبيت كرسي الحاكم بالغراء؛ أما التعليم فرفاهية لايريدونها.,0,1,0,0,0
190,C2,ما المحروسه مطلعاكوا دكاترة قد الدنيا أهه .. مالها المحروسه وماله التمكين ياعم ؟,0,1,0,0,0
191,C3,داخل المحروسة رفضوا تعييني مدرس بالجامعة رغم استحقاقي لعدم وجود واسطة وخارجها أصبحت دكتور ذو إحترام دولي :),0,1,0,0,0
192,C4,اكترية زمايلنا واكترية الناس كلها بتتعين ف الجامعة من غير واسطة..تعممش مشكلتك لو حقيقية ع البلد,0,1,0,0,0
193,C5,اذكري لي إسم واحد فقط تم تعيينه مدرس م في كلية الطب بأي جامعة دون واسطة أو إبن أو قريب أستاذ.!!,0,1,0,0,0
194,C6,والله اعرف واحد من أسره بسيطه جدا وهو حاليا أستاذ دكتور ف جامعة القاهره واسم معروف جدا ومش حاقوله,0,1,0,0,0
195,C7,مش واحد يا أمل، ده معظم الناس ف الكليات بتتعين بلا واسطة، الواسطة هي اللي بتبقى حالات قليلة,0,1,0,0,0
199,TWEET,هناك شيء مدمر في الفهم المتطرف للإسلام .الادانة ومعالجة الظواهر في غياب العدالة والفكر العقلاني والكرامة الانسانية لم ولن تكون حلا مستداما,0,1,0,0,0
200,C1,ماديانة البرادعي ؟؟؟؟ أنا عارف ان اسمه محمد,0,1,0,0,0
201,C2,أحاديثه تقول أنه بلا ديانه,0,1,0,0,0
202,C3,لاتنس عندما طالب منى الشاذلي بمعبد بوذي صغنن ومحندق لإخوانه البوذيين,0,0.6667,-1,0,0
203,C4,"""معبد بوذى صغير يا منى ايه المانع يا منى :)""",0,0.6667,-1,0,0
208,C9,بس يامحمد,0,1,0,0,0
209,C10,"""بس يسطا برادعى لما تعوز تكتب تويتة تعالى قولى اسلوب سيمبل وجميل وبيجيب ريتويت برضو والله""",0,0.6667,-1,0,0
210,TWEET,تعجز الكلمات عن وصف مأساة المنطقة. تصدي أمني علي المدي القصير. معالجة عقلانية وقيمية تنتشلنا من القاع هي الحل الوحيد. رحم الله كل روح بريئة,0,1,0,0,0
211,C1,المعالجة القيمية العقلانية دي هي الحل أكيد، لكن حتتصرف مع جنون وإجرام الإرهاب ازاي بالظبط يا دكتور؟! نعمل ايه يعني؟!! ,0,0.6923,0,-1,0
212,C2,"""البردعاوي ده لطيف خالص فعلا  عقلانية وقيمية ايه هو بيتكلم عن واحد متخانق مع مراته ؟؟""",0,1,0,0,0
213,C3,اعتقد حضرتك تدعو لمؤتمر دولى للحوار للسلمي مع داعش والاخوان وبيت المقدس وبوكو حرام والقاعدة على مائدة المفاوضات !,0,1,0,0,0
214,C4,الدكتور محمد البردعي ، نحن خُدِعْنا فيك ونرى أنه من الحكمة الأن أن تعتزل العمل السياسي والعام,0,0.6154,-1,0,0
215,C5,و لو مصر كانت ضاعت زى جيرانها يا ترى كان الاعتزال كافى هل يستوى المواطن العادى مثل ما يسمى بالنخبه,0,1,0,0,0
216,C6,لو سمحت يا بوب elaborate. يعني لما اخوان الدواعش يخطفوني أعالجهم عقلانياً قبل ما يذبحوني ولا بعد الذبح؟,0,0.6154,-1,0,0
217,C7, بعد الدبح اوقع عشان الدماغ بتبقا مفصوله والكلام موزون,0,0.6154,-1,0,0
218,C8,مش متأكدة أني قادرة علي مواكبة عقلانية البوب. لقد اصيبت عقلانيتي بوعكة,0,0.6154,-1,0,0
219,C9,والله المستعان علي البوب,0,1,0,0,0
223,C2,صح كلامك ياشيخ,0,1,0,0,0
225,C4,حقيقه مؤكده,0,1,0,0,0
227,C6,انت راجل عسل,0,1,0,0,0
228,C7,حياك الله ياشيخ,0,1,0,0,0
230,C9,اعلام ـ قضاء ـ داخلية ـ جيش  انتم شعب وباقي فئات الشعب شعب اخر ليس له حق في هذه البلد,0,0.7143,0,0,-1
232,TWEET,اقرأ ف عدد #اليوم_السابع الصادر غدا:#الإخوان يخططون لحصار السفارات المصرية ليلة #الانتخابات,0,1,0,0,0
235,C3, ابتدى الموال ونعيد ونبوظ واعادة وكلة الاخوان,0,0.7143,0,0,-1
238,C6,ابتدى الموال ونعيد ونبوظ واعادة وكلة الاخوان,0,0.7143,0,0,-1
239,C7,ايييي عرفتو ازاي الاخوان اللي قاللكو,0,0.7143,0,0,-1
241,C9,هو فيه عسكر بيعمل انتخابات ؟! يا راجل كبر مخك,0,0.6429,0,-1,0
243,TWEET,"""#اليوم_السابع | بدء احتفالية أنصار #مبارك بـ #نصر_أكتوبر على أغانى ""اخترناه"" و""حلوة بلادى""""",0,1,0,0,0
245,C2,هى طابا رجعت على ايد مين وبعدين ال30 سنه ما كانوش كلهم سود خلينا منصفين اينعم فيه سلبيات بس مش كلها سلبيات,0,1,0,0,0
246,C3,أشرب سلبيات لحد انهرده و بكره و عبد بكره ..,0,0.6667,-1,0,0
247,C4,ومن السلبيات شبكات المحمول والطرق والفلا حين اللى بقو من اهل المدن والميه اللى ماكنتيش تحلمى تشربيها,0,1,0,0,0
250,C7,30سنة أمان وصاحب الضربة الجوية أوفياء جدا أبناء مبارك,0,1,0,0,0
251,C8, اغنية اخترناه بتعبر عن حب أبناء مبارك لزعمهم مبارك,0,1,0,0,0
253,C10,تحيه للبطل الرئيس محمد حسنى مبارك,0,1,0,0,0
254,TWEET,#اليوم_السابع | #وزيرة_الهجرة: أتابع مع الخارجية حادث الاعتداء على العامل المصرى بالأردن,0,1,0,0,0
256,C2,روحي هناك ووكلي له محامي واعملي له سند,0,1,0,0,0
258,C4,"""نفسي اعرف لازمة وزارة الخارجية المصرية؟؟؟  انا اعمل بالخارج ومشوفتش ليها اي لازمة""",0,1,0,0,0
259,C5,الى كل الإخوة في مصر تمت مساء هذا اليوم المصالحة وأغلقت القضية,0,1,0,0,0
260,C6,علي البركه يا حاجه متجيش في حاجه وحشه,0,1,0,0,0
261,C7,هى وزيره حلوه بس نايمه على ودانها  مش اتصالحو واتصورو مع بعض كمان,0,1,0,0,0
262,C8,ناس تعبانة,0,1,0,0,0
263,C9,يا رب,0,1,0,0,0
264,C10,عايزين نتيجة مش رغى,0,1,0,0,0
265,TWEET,الرئيس #السيسى: مهم جداً أن نختار جيداً من يمثلنا في البرلمان بكل حرص وأطالب كل الشباب بالنزول إلى صناديق الأقتراع ,0,1,0,0,0
266,C1,وهو فين الشباب ام في المقابر او المستشفيات او خايفين مطاردين خارج البلد او في المعتقلات,0,1,0,0,0
269,C4,اذا كان مخترناكش اصﻻ وربنا بالينا بيك يعني جات ع النواب يﻻ ليكم يوم,0,0.6154,-1,0,0
270,C5,طالما فيه حصانة للعضو وامتيازات لكونه برلمانى يبقى هدفه السلطة والسرقة نختار ازاى ونتخب مين لازم يكون عمل خدمى ولصالح مصر فقط,0,0.6154,-1,0,0
272,C7,ابئو قابلوني,0,0.6154,-1,0,0
276,TWEET,بالفيديو.. جرائم #الإخوان فى حق المصريين.. حتى لا ننسى,0,1,0,0,0
283,C7, الذي قتلهم هو تقصير المسئول عن تدريبهم و كفاكم تلبيس اي حاجه علي في الاخوان و تعليق خيبت من تطبلون له عليهم,0,0.6429,0,0,-1
287,TWEET,"""زعزوع: ""#السيسى"" يوافق على وضع صوره الخاصة على حملة السياحة ""هى دى مصر""""",0,0.7778,-1,0,0
288,C1,هههه بايخه قول له بلاش,0,0.7778,-1,0,0
289,C2,ياسنه سوخة !!!!!,0,0.7778,-2,0,0
290,C3,يبقى كده ضمنا فشلها,0,0.7222,0,0,-1
292,C5,ههههههههههههههه مبروك عليكوا,0,1,0,0,0
295,C8,ههه ولا مصري يتطلم من اردني,0,0.7778,-1,0,0
296,C9,مافيهاش حاجه.دي أكبر دعاية لمصر.,0,1,0,0,0
298,TWEET,#محمد_البرادعى: زيادة الضحايا المدنيين فى العمليات العسكرية أمر غير أخلاقى,0,1,0,0,0
309,TWEET,"""#أردوغان يواصل استفزازاته ويرفع ""#رابعة"" بمؤتمر حول ضربات #روسيا فى #سوريا""",0,1,0,0,0
320,TWEET,"""#أبو_هشيمة: ""أنا رجل عصامى بدأت من الصفر وكنت بشتغل 19 ساعة يوميًا""""",0,1,0,0,0
322,C2,بيستخفوا عقولنا ولا ايه بالظبط وكمان طلع اخوانى  متخفى,0,0.6154,-1,0,0
327,C7,كلهم بيقولوا كدة انا راجل عصامي .... يا واد يا جامد :D,0,0.6154,-1,0,0
329,C9,انا بشتغل 14 ساعة ومش لاقى اكل,0,1,0,0,0
331,TWEET,"""فى عيدهم المنسى تحية للفلاحين المنتجين المحرومين . أصل مصر . سادة الصبر الحكيم والعرق الشريف وطول الأمل وانتصار الأخضر على الزمان البور.""",0,1,0,0,0
342,TWEET,"""أهنئ  أهلنا فى المطرية بالإفراج عن الصيادين بعد عناء احتجازهم الطويل. شكرا لاستجابة السلطات فى السودان الشقيق وتحية لمساعى الخارجية المصرية.""",0,1,0,0,0
343,C1,خليك في حالك البركه في رئيسنا,0,1,0,0,0
344,C2,مش واخد باله أنه تدخل السيسي ياعيني مش قادر ينطقها طب السيسي بعتلهم طيارة خاصة تجبهم مسمعتش عن دى كمان,0,1,0,0,0
353,TWEET,"""23 يوليو الثورة الأعظم إنجازا وانحيازا للأغلبية فى تاريخ مصر. تحيةللشعب القائدالمعلم وطليعته الثوريةوابنه البار  جمال عبدالناصرناصر الفقراء.""",0,1,0,0,0
357,C4,"""فيه رئيس وﻻءه لعصابه فيه رئيس لبس السلطانيه فيه رئيس مايعرفش لغه اجنبيه فيه رئيس ﻻ يحكم  في رئيس يعمل للعصابه فقط""",0,0.6667,0,0,-1
364,TWEET,"""الإرهاب مهزوم مهما تصاعدت جرائمه.  تحية لأرواح شهدائناالابرار. شعبنا مع جيشنا. مصر أقوى من الإرهاب.""",0,1,0,0,0
372,C8,المداخلة الكاملة للسيد #حمدين_صباحي مع الاعلامي وائل الابراشي على خلفية الحادث الارهابي الجبان,0,1,0,0,0
375,TWEET,يخطئ من يعتقد أن الإعدام هو الحل.,0,1,0,0,0
377,C2,ههههههه ياسمين اكثر الله من امثالك :)),0,1,0,0,0
