,id,label,3-Class,6-Class,text
17,1138604130380013581,0.0,C,C,@elzouk1 للأسف هذا الإعتقاد خاطئ ، المصريين شعب لطيف وطيب والأهم أنهم أهل دين وصلاة ولكن بسبب كثرة الإستعمار والفقر لمصر جعل منهم شعب يحب السخريه والضحك وسلوكه مرح فيعتقد البعض أنهم نصابين تحياتي لكم
18,1165344414262333440,0.0,C,C,@HAMA__CITY بعض معلوماتك مغلوطة الله يصلحك  اللهجة الحموية لاتتقارب مع اللهجة الحلبية بتاتاً  مع الشوام نسبة 80 بالمية
19,1173006631128444928,0.0,C,C,"@7ssd_ في عينها اليمنى بداوهہ اصيلهہ في عينها اليسرى مراسم حضارهہ
.
 فيها جمال البدو كلهہ،تشيلهہ وفيها دلع بنت الحضر والشطارهہ
💛❤

كامله والكامل الله فديتها❤️❤️"
22,1168436308295000065,1.0,H,EH,@Amira1178 طيب و اليمنه و طروش البحر الحضران و الخوال القبائل اولى منهم 👍
27,1148311559250337792,0.0,C,C,@AzozBarjas القصمان عقلية تجاريه فخمه ويستاهلون، هم يملكون العقلية الذكية لدرجة اني ما اشتري منهم وابيع غالبينك غالبينك
28,1116789831466717187,0.0,C,C,"@alhabibali من الإلحاد الى الصوفية ؟ 
غفر الله له وتغمده برحمته 
وهدى الله اخواننا الصوفيين الى الحق والسنة ."
29,1140652382520512517,1.0,O,O,@hb_alnasr2012 @saoa70 وربي الحريم ارجل منه ،،الا جزمة ومن فوقه الجزمة هالسلقة💦💦💦💦💦
31,1140364101786509316,1.0,H,NH,@EIZ_1985 سعودي ماعليك شرهه .... تربية شارع الرد على الزباله ينزل من مستواي كثير انقلع
32,1152334475398922240,0.0,C,C,@sabqorg فيلم السهرة اليوم اخراج بريطاني وتمثيل فارسي،  المنتج يهودي طبعا
35,1140308990737428481,0.0,C,C,"@FaisalHuraizSKY كم نحن بحاجة كعرب لنتعلم من نبل السودانيين وكرم اخلاقهم 
تظاهروا حتى اسقطوه بعد حكم ٣٠ سنه ... عندما قرروا محاكمته لم يظهروه مكبل مهان او مستضعف .. شعب عظيم هذا الشعب ."
36,1145060196730966016,0.0,C,C,@NaylaaDz @oranaise_Alger الاناث تقول الذكور أكثر والذكور يقولو الاناث أكثر......جدال عقيم😷......خلينا منو👌
39,1165411407711678464,0.0,C,C,"التمرد على المألوف والبحث عن الاستقلالية والحرص على الخصوصية.
سمات تميز نوع من الشخصيات لها طابع خاص و""نفسية"" خاصة وعواطف معينة تدفعها دائمًا للملاحظة والتحليل والتفسير. 
كان هؤلاء في السابق عند العرب يسمون بـ ""الصعاليك"" كانوا ثائرين على الأعراف والتقاليد"
40,1169388855683948549,0.0,C,C,"@alhadaban @Dhahi_Khalfan @Kuwaity_fa @Badermasaker @saudq1978 @SultanSKAlSaud @MohamedBinZayed @HHMansoor @SaifBZayed @ABZayed @Alshaikh2 الشيعة متحدون ويتخادمون في كل مكان من العالم.
من يرى غير ذلك فليراجع قراءته للمشهد"
42,1137821434003243008,0.0,C,C,"من بحر جده الى شرق الخبر.. 
في الحضر و البدو ما نلقى حلاه♥️"
43,1152197258781347840,1.0,H,RG,@es0308551 @ne3matalah الله يحرقها كلها ويحرق اليهود كلهم
44,1161778624502124551,0.0,C,C,@R7moony ليت يكون فيه استفتاء عن ردة فعل الرجل اتجاه تصرف من هذا النوع، نبغى نشوف تفكير الذكور في مجتمعنا.
45,1127316971559837696,0.0,C,C,"الشعب السعودي يحب فلسطين ومن أكثر الداعمين لها طوال سنوات، والخلاف الطارئ  يمكن تجاوزه في لحظة وعلينا الانتباه أننا شعب عربي واحد.
 
المقاومة الفلسطينية ليست إرهابا وحماس وقيادتها عنواين عزة وما نشر باحد الصحف خطا لا يمثل السعوديين.
عدوتنا اسرائيل فقط"
46,1157374548746092545,0.0,C,C,@ili262 والله حتى انا اتمنى اكون حضري وقت العزايم بلا كفاله بلاهم
47,1140381842337648640,0.0,C,C,"مو كل بدوي يعني عقيدي وهيلقي!!

مو كل شيعي يعني يكره الصحابة!!

مو كل سني يعني يكره الشيعة!!

مو كل حضري يعني دلوع ومو ريال!!

وصلت؟👌🏾👌🏾"
49,1124099179993759745,0.0,C,C,"@salem_alenazi77 من جم يوم مرت علي تغريده بالتايم لاين يقول ان اللي يشجعون الأنديه السعوديه يبون فلورز ومتابعين ؟؟!!

للأسف ما اذكر منو لأني مو متابعه وبنفس الوقت غلطت أني ماعلقت على التغريده

الحبيب شكله زعلان 😂"
51,1139993109004279808,0.0,C,C,في موضوع ضحكني الشعب عندنا قاعد يهاجم المصررين عشان هاجمو السوريين الي بمصر وبيقطعون رزقتهم وربعنا ٢٤ ساعة مطيحين حظ الوافدين الي عندنا شيلوهم من الوزارات مانبيهم هههههههه والله شعب سكارى
52,1176198366226780161,1.0,H,RG,المداخله والسلفيين العرب هم اقذر جماعه واكثرهم عداوه لكل عربي حر
53,1115138310861619200,0.0,C,C,@Dhahi_Khalfan المسيحي عقدته اليهودي واليهودي عقدته العرب
54,1167862076091453441,1.0,O,O,@Dhahi_Khalfan خسئت يازباله العرب وتفاله الاصاله وبقايا غبار الحظاره لاتتطاول علي اسيادك اليمنيين
56,1140040121468751872,0.0,C,C,@MSTQEDA @EdyCohen @sultaan_1 @AvichayAdraee ااااه كم كنا نكره اليهود والصهاينه وإسرائيل...ولكن فالحقيقه نحنو نكره أنفسنا ونحنو لانعلم...لماذا لم نسأل أنفسنا ؟لماذا الرسول كان يحترم الجميع بي غض النظر عن ديانته...اما كان جار النبي يهودي وأعز عليه فراقه ...سبحان الله
57,1157424355716063237,0.0,C,C,@mnabou الف الف مبروك للمنتخب اللبناني الشقيق و العراق كمان فاز على منتخب فلسطين الشقيق
58,1171024639981760518,1.0,H,EH,@gha024390 الاكراد انذال الله يلعنهم  انهم وجهان لعملة واحدة مع الصهاينة
59,1141054622171389957,0.0,C,C,@Alketbi1111M محد فيه فضول غير الإناث ... صح السانك
60,1155625588582993920,0.0,C,C,بنات صديقتي متزوجه مطلق وعنده عيال وربي تعذب عياله وماتهتم فيهم وتضربهم اذا نصحتها قالت مالك دخل كسرو خاطري البنت جات بتجلس طردتها بس قلت لها قولي لبوك وعماتك يارب ماتحس ع شي صدق العيال ضحيه ولا في قلوب ترحم بعد ليتني مارحت لها😥
61,1162234471271129094,1.0,H,GH,"@MakotoKonn @Arijashour شباب مريض متعفن قصة حياته وكل اهتمامه وجل تفكيره بنات الناس..
مكبوتين جعانين معقدين معفنين
ما هذا الهراء في عقل الذكور"
62,1138828659551363073,0.0,C,C,@AlArabiya ضروري  الدعوة  لقمة  عربية  عاجله  من أجل التنديد  والشجب  وأخذ  صور  سلفي 😂😂😂😂😂😂😂😂😂
63,1155242007478116352,0.0,C,C,توظيف الكويتيين بالنفط بعقود مقاول والاجنبي يتوظف بشركات البترول وين التكويت يا وزير
64,1154903278897041413,0.0,C,C,@Travel6_6 الزين يفرض نفسه الناس تشتري منتجات القصيم لجودتها وهي الافضل بالسوق لو وجدوا افضل لأخذوه شدو حيلكم وتفوقوا على القصمان ومحد قايل لكم شي لكن صدق من قال الرازق بالسماء والحاسد بالارض
65,1142087702948536321,1.0,H,NH,@Omar40176022 @nasser_duwailah سعودي على وزن يهودي ملعون من اليوم الى يوم الدين
67,1154577575789961216,1.0,H,NH,@TurkiShalhoub @VwOrcuJWh07mCqn الفلسطينيين شعب ذليل كل العالم واطي عليه. يا مرتزق ماليزي لديها تعاون كامل مع اسرائيل
69,1137468364832628736,0.0,C,C,@urhsh993179 احنا تفوقنا على المصريين  شعب النكته بصراحه
72,1160176987635355648,1.0,H,GH,@El____masry هل بتعتقد ان النساء عاقلات اغلبهن مجانين لا يغرنك المضاهر اغلبهن مجنونات 🏃🏻‍♂️🏃🏻‍♂️🏃🏻‍♂️🙈
74,1127232124363386881,0.0,C,C,@salmasoliman77 الشوام بيعملوا العجين باللحم المفروم والمناقيش
76,1120823296528986113,0.0,C,C,"@JustBasharico @3_icare المسيحي يرد عليك بنفس هذا الرد بحروفه

فهل يصح لنا وصفه بالتطرف والكراهية لأنه استخدم نفس ردك ونفس منطقك وكان صورة طبق الأصل لك ؟"
77,1153077455277690880,0.0,C,C,@2018Lamami انا شيعي واقسم لك بمن تعبد لا يوجد هاكذا شي لكن الشهداء احياء عند ربهم ومن هاذا الباب يقول له الحسين يسمعك ولا يقصد بالسمع  المادي بل المعنوي فالحسين قتل منذ اكثر من الف سنه ولا فخر بان تظهر مسلم مثلك بانه نجس
78,1154604207040860160,1.0,O,O,الله يلعن اللي علم البنات كلمة حرفياً تنرفزززز
80,1115002828404199425,1.0,H,NH,@Garah_yemen اليمنيين شعب ساذج تقودهم بكلمه وتفرقهم بعصى
81,1167169360609337349,1.0,H,GH,@ZEhulllll @julfivrt البنات حقيرات وحقودات وحسودات معروف عنهن هذا الشي من قبل
82,1169996880727760896,1.0,H,EH,@00oo00One @The_Saudi_girl الان هوية الحجاز يغلب عليها ب الاعلام العثمانيين والحضارم والافارقة ولو ان الافارقة والبورما مجرد خدم يسمونهم الخدميين او خدمي ب الحجاز
83,1159906150340542464,0.0,C,C,"لو سمحتوا الله يرضا عليكم خلاص والنعم بالكل بدوي حضري قصيمي والنعم بالكل
خلاص هذي فتنة
والحين وصلنا لدرجة ناس يتدخلون بالعوائل والكل يقول العائلة هذي تنتسب للقبيلة هذي
ويرد الثاني ويقول لا تنتسب للقبيلة هذي
ويرد الثالث يقول لا ما تنتسب لأي قبيلة 
#عبدالرحمن_المطيري"
84,1124969986059988997,1.0,O,O,@SulaimanAlfahd والله ماكو كلب اجرب غيرك ..ولا اقول العراقيين تاج راسك لان راسك نجس ويحتاج نعال مو تاج
89,1168367183803670528,0.0,C,C,@Black__12Women الغريب في الأمر أني عندما سالت احدي الصديقات من دول المغرب العربي عن اصلها تقول انها من قبايل البربر فاستغربت كثيرا. و سالتها من هم البربر؟ فقالت هي قبايل أفريقية و هي بيضاء بعيون زرق. ففضلت عدم الخوض في النقاش اكثر احتراما لها و لكني لم اقتنع ابدا بافريقيتها.
90,1134832145992769536,1.0,H,NH,اوسخ ناس العراقيين شعب متخلف شعب وسخ مافي غيره حتى عل بنت بلده عقليات وسخه مابين شيعي وسني اناس انجاس مجوس  #اغتصاب_طفل_وامه_في_الموصل
92,1171378432028086277,0.0,C,C,@firasalsarrai نعم هذه الصورة في الكويت في مهرجان الخليج العربي للفنون وكان برئاسة محمد السنعوسي..واقيم لعد ة سنوات وبعدها تم إلغائه بتأثير من السلفيين..والآن الكويت تتحسر وتقول وطني كان محفلا فنياً...مودتي للجميع
93,1137858229264932864,0.0,C,C,@Feminism_pics ويقولون الحريم ناقصين عقل ودين حمدالله وشكر بس لاتبلانا
94,1129522293993033733,0.0,C,C,"@hussam508154071 @IraqSurveys ١-نعم لان انتاج مصر من اللحوم يبلغ حوالي ٤ اضعاف العراق
٢-ان المصريين يعشقون اللحوم بشكل جنوني اكثر من العراقيين
٣-الاستهلاك المصري السنوي من اللحوم (اكثر)من استهلاك العراقي بمقدار ١٣٠٪ اي اكثر بمقدار الثلث.
تحياتي"
97,1133073320251932672,0.0,C,C,"@alaraby_ar هههههههههههههه
ولماذا لم تتعاملوا بهذه الثقافة مع شعب العراق
اتعتقد ان العراقيين لايعرفون ماذا فعلت اجهزتكم المخابراتية في العراق
الكلام كثير والايام بيننا ونسال الله ان ينتقم من كل من ظلم شعب العراق"
98,1135993608493047808,0.0,C,C,"@AlsisiOfficial كل عام وانت بخير يا سيادة الرئيس..

والله اننا نفخر بك وبشعبك العظيم شعب مصر ارض العز والكرامة..
ونسأل الله أن يحفظكم ويديم عليكم نعمة الأمن والأمان والاستقرار..

ونقول لكم من المملكة العربية السعودية
كل عام وانتم بخير وصحه وسلامة 💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖"
101,1155241732675649537,0.0,C,C,"@iiix_83 @garmallh مين اللي اسسك في هذي الحياة ؟

امك من النساء 
زوجتك من الحريم 
اختك من البنات 
هذولا كلهم ذلوك و اهانوك يعني ولا كيف"
104,1134966950415745024,0.0,C,C,@mamado99221 @Drawiishland @dina_alawadi @mogtareib اليهود من خيبر يعني منكم وفيكم 🤣🤣🤪
105,1134642920852733952,0.0,C,C,@Almajlliss الوافدين اكثر من الكوايته 🙂😂
106,1118961938686533632,0.0,C,C,"ألمانيا 
نتائج اندماج اللاجئين السوريين في سوق العمل مبهرة .."
107,1142579287679258624,0.0,C,C,"@m7romhail @AskHail_1 خدمك المال والبنون واطال الله بعمرك على العفو والعافيه 
اعجبن ردك على الرجال
 دائماً ابناء حايل رافعين روسنا 🌺✋️"
108,1140212666822275072,0.0,C,C,@bof9laa أقولكم و تذكروا كلامي، بس تطلع فاشينيستا تروج لل 5G، راح تشوفون الكويتيين أفواجآ و طوابير واقفين عند شركات الأتصالات،، ،إحنا شعب و للأسف يحركنا فاشينيستا،،،
113,1144273060213735424,0.0,C,C,@96_a015 @ioMqZ736FunAXN5 @ma_al_k @Oma____q____Ran @AioOU3tMcU9v2dO @mumtazibrahm @Hussein56549164 يغارالرجل من المراءةعندما تكون  حبيبته او زوجته واحياناً تحب المراءة هذه الغيره
115,1118528812801826817,0.0,C,C,@MBNsaudi مع احترامي لك ولكن انا اشوف لبسهم زي الافارقة واعتقد انهم من الحجاج المخالفين وهذا نشوفو كتير في مكة وجدة وبيوتهم زي كدا عشوائيات
116,1117033478544080896,0.0,C,C,@RafSetif أنا لم ألتق بهذه الأشكال يوماً، حتى الإخوة السلفيين تجدهم أنيقين في قمصانهم وأشكالهم وقصات شعرهم، وليسوا بهذه المناظر التي تنفر القلب وتُرهب العين
117,1177094663813156864,0.0,C,C,"@alrahbi5 لو أنكم فقط تغلبون حب اليمن وشعبه ولجأتم إلى الله ليفرج عن شعبنا ماهو فيه وتركتم المتاجرة بدماء اليمنيين المستضعفين لنصركم الله ولزال الكرب
ولكن شعب يموت جوعا ويأن كما قلت والمسؤولون في رفاهية من دولة إلى دولة واعتماد مطلق ع الأمم المتحده فحالكم كمن يرجوا من الحنظل أن يثمر عنبا.."
118,1151635216399835138,0.0,C,C,@talalalenazi_9 مو يتعالى عليها ، و يبي منها كل شي ، اهي الموظفه و تصرف عالبيت و فاتحه البيت و تجيب ماجله البيت والمستشفى و شايله مسؤوليه العيال و حتى الغازات تعبيهم ، لانه هو مسكين عليه قرض الزواج ، و معاشه ما يكفي بس للسفرات 😒
119,1174355387535024129,0.0,C,C,@lilo_moon @iknwo محد جاب طاري الستات و الاناث و الذكور و التمييز الجنسي . التغريدة تتكلم عن بعض البنات اللي عاملين من الثقافة موضة كما هو حاصل . و كان الله غفورا رحيما . لكن اقحامكم للذكورية و كآن التغريدة تتكلم عن تمييز جنسي يدل على معاناتكم الشديدة في هذا الموضوع
120,1135681186678919169,0.0,C,C,"لأول مرة في تأريخ اليمن..الشعب اليمني لن يكون موحدا في يوم عيده.. لقد كنا في الماضي نستغرب عن حال العراق الذي كان له عيدين..عيد السنة وعيد الشيعة وهانحن للأسف يفرض علينا نفس السيناريو..
لعنة الله على من تواطأ وسلم للحوثي العاصمة صنعاء وعمل على تسليطه على رقاب اليمنيين
ألف لعنة.."
121,1122243014552948739,0.0,C,C,مشاكل الكويت اصبحت اكبر منها بكثير للاسف ،لانها تركت بدون حلول جذريه سنوات طويله والامور سارت على البركه والان بعد ان ازداد عدد الكويتيين وازدادت المتطلبات مثل الوظايف او نتيجه لتحسن وسائل المعيشه وع جمود الايرادات صار المعنيين الكل يضرب بالكل والمواطن البسيط ضايع بالطوشه
122,1116446101874401280,0.0,C,C,@ahq97_ سعدون جابر من افخم المغنيين العراقيين والعرب
124,1135315181494505478,0.0,C,C,على كثر الشوام عندنا مافيه حمامات شامية صدقية والله يا هذا وقتها الصراحة
125,1153063810560856065,1.0,O,O,@abdalhakem93 @monther72 @AlHadath انت العاهر الخاين وعديم شرف  روح دافع عن بلادك وشوف كيف الاتراك يضربونهم ويسرقوهم ولاتفتح فمك لهم ياحثاله  كل يوم يتم نشر جرائم الاتراك ضد السوريين وسرقو مصانعكم وتدافع عنهم ياخاين
126,1159234128203698177,0.0,C,C,@love_me97_ @eng_mustafa1989 @Miss__Madrid الاكراد لهم حاكمهم وحكومتهم ولهم علم خاص فيهم والاخ داش يقول عراقيين هذي السالفه كلها 😂😂😂
127,1149814261658607617,0.0,C,C,@Gaz_otb انا ابي اشوف عرس الحريم 😔😂 اذا عندك سناب وحده من خواته هاتيه
128,1140946194820153351,0.0,C,C,@uae_3G اليهودي يبكي على اليهودي المسيحي يبكي على المسيحي( النصراني ) كل الاديان يبكون على بعض وان اختلفوا في المذهب او السياسة
129,1129154421663969287,0.0,C,C,"لهذا تجد أغلبية المغاربة والمغربيا - عن جهل  - 
لهم حساسية زائدة تجاه كل شئ له جذوره من #فرنسا أو #أوربا عامة - أقصد ما جاء بالفعل من الحضارة الأوربية من مطبعة وعلوم وتكنولووجيا 
- لكنه في المقابل ينفخون ويفتخرون بالإرث الإستعماري الأندلسي كرمز حضاري ل #المغرب"
131,1178618245433217024,1.0,H,NH,@ibharbi هذولا الفلسطينيين شعب قذر ودك تدوس عليهم حثالة العرب . خائنين بلدهم وشرفهم
132,1140353469959856134,0.0,C,C,@3bed101 @Fahad_a_a_m الافارقة قوتهم في المهاجرين.  و فيهم ضعف في دولهم
134,1161435441096208384,0.0,C,C,@giile7 #المصريين شعب جميل يحب الحياة ويتمسك فيها
135,1117832658078375936,1.0,H,RG,الله يكسر فمك يا شيعي
138,1164987569156841472,0.0,C,C,"@ebn_dhelos1957 اخويه فائز مع كثرة التبجح عن المراءة السعودية 
زادها اصرار وعزيمة للتمسك بشرع الله واصبحت عزوة لابيها وامها واخوانها وكل من يعرفها لانها ادركت ان الاعداء متربصون بجمال السعودية في حشمتها وعفتها وهي الجوهرة المصونة المحفوظه بحفظ الله ورعايته وكنفه سبحانه وتعالى 
والزبد قليل ورعاع"
139,1164621759301214213,1.0,O,O,"@MohamedBinZayed لا يعنينا والذي يعنينا هو #طردكم_من_اليمن بعد أن ظهرت على حقيقتك رغم معرفتنا السابقة بك انك حقير وماكر ومخادع ومجرد من أخلاق وقيم الرجال. 
وما نقول إلا 
لا تأسفن على غدر الزمان لطالما * رقصت على جثث الأسود كلاب
لاتحسبن برقصها تعلو على أسيادها * تبقى الأسود أسوداً والكلاب كلاب."
140,1155970599023329285,1.0,H,EH,@twejirey @nbenotman البدو بعاد علي الدين وعايشين كالانعام
143,1169704073437884417,0.0,C,C,@aAdWebAiLRM8Ktq ديننا هو دينهم فهم يختنون اولادهم و لا ياكلون الخنزير و يحرمون الخمر .مثل سوري كل عند اليهودي ... ونام عند المسيحي :: كان يُضرب هذا المثل قديماً... وهو أشبه بحكمة ... توضيحه :: يُقال ان اليهود يعتنون بنظافة الاكل كثيراً .
144,1146191875411517440,1.0,H,EH,"@Or_nojail البدو عموما كلهم زق تعاملهم مع النساء.
اما الحضر و الحظر الي بالسعوديه ف مقتبسين ( التفكير البدوي).
اما بقيه المناطق الي مب عربيه عندهم مُشكله لازم تتحدد.
احنا مشكلتنا كوننا مجتمع اغلبه بدوي او تفكيره بدوي بحت.
هم قد يكون لهم سبب اجتماعي ادى لوضعهم الحالي."
147,1127242491382718467,0.0,C,C,"عبد الله القصيمي كان من كبار العلماء السلفيين ، وألف مؤلفات قل نظيرها فأثنى عليه وعليها علماء عصره ، ثم صار ملحدا زنديقا يستهزئ بالله وملائكته وكتبه ورسله!  

والمصعفقة : الشيخ فركوس عندهم عالم كبير لكن مجرد نسبة الخطأ إليه جريرة لا تغتفر! وكأنه معصوم!  إنه #تقديس_الصوفية"
148,1121438335757504512,0.0,C,C,لهجة المغاربة مدري ليش توجع راسي ولا افهم شي منها
153,1117900730851946496,0.0,C,C,لهجة السوريين حلوه ياخي مدري اركز في اللعب ولا كلامهم
154,1118075497550839809,1.0,H,RG,"@3ajel_ksa اللعنة على الوهابيين و السلفيين امثالك...اكبر غضب من الله يوم اعطاكم البترول الذي جردكم من انسانيتكم والانفتاح على الاخرين...الى الجحيم 
بيتي بيت الله يدعى
اما بيوتكم فمغارة للصوص"
156,1153238420891848704,0.0,C,C,@KsaBanker @mansour_y العمانيون او العمانيين يحبو بريطانيا حبا جما مدري شسبب ! لكن هم شعب مسالم بالآخر
158,1119526011220234240,0.0,C,C,@b0_diary ذولي قطعوا الشجر عندنا في السعوديه وراحوا الأردن يقطعون الشجر في الأردن من حقهم الأردنيين يزعلون
160,1162483634621882368,0.0,C,C,"#اخلاق_ولد_زايد
#حمد_المزروعي
ياناس اتقو الله حق تقاته محد يمثل دولته كلن يمثل نفسه وتربيته فقط .
تجيبون تغريدات من عام ١٤ وخشبه وانتو وانتو شعب قطر الطيبين شعب الامارات الطيبين شعب السعوديه الطيبين على عيني وراسي واما الي يسب الاعراض ونتهك حرمة المسلمين ويل له من عذاب الله ✋🏻"
162,1153086181418110976,1.0,H,NH,"@EveningPress1 @AmiraHilal22 معروفين انهم همج وبربر ولا يستاهلو اي احترام 
الصراحه جميع الافارقه ناس محترمه الا هولاء الجزائريين😂😂👊👊"
163,1142838099547951105,0.0,C,C,@Hurt20100 @Hessa_17766 اعتقد القليل منهم ،مجهولة الهوية يقصد فيها انا وانت وبناتنا بنات الوطن  ،بالعكس المراءة السعودية هادئة تتحمل الكثير عون وسند لكل من طلب مساعدتها حنون عاطفتها جياشه ،واذا وجد من هذه النوعية فهم القليل  جدددداً
164,1157017557762760704,1.0,O,O,"@123a1Ag @faris7mzi @mftaaaa7 قبح الله وجهك يا احد افراد الفتنة 
اصغر فلسطيني أشرف منك انت وأمثالك عالة علي شعب السعودية الشرفاء"
166,1112835842215641088,0.0,C,C,@Noga_Sidahmed @F1655916339 @Adam33002674 @MoeAlBashir @Mvsh526 اولا، للاخوه السودانيين انا اعرف انه جاتكم عنصريه كبيره من بعض العرب وهذا خطأ عظيم لازم العرب يصلحوه ويعتذرو عنه. لكن السودانيين والعرب اختلطو في بعض وصار العرب فيهم عرق افريقي والسودانيين فيهم عرق عربي. اللي يجمعنا اكثر من اللي يفرقنا.
167,1171561839697829888,1.0,H,EH,"@MOHAMED__BADER @lola20093 وش دخل البدو؟
صدقني ياأخي لهم دخل .. بل هم الدخل ذاته في الجرائم عندنا من قتل وادمان وسطو ومع احترامي الشديد...لايوجد عندي احصائية ثابته لكني منذ صغري من ٣٠ عامًا كنت أقرأ في زاوية الجرائم وبشغف ... وارتبط في ذهني هذا المعتقد&amp; وهو أنه وراء أغلب الجرائم يوجد
xxxب د و ي xxxمهايطي🤭"
168,1119817992819421184,0.0,C,C,@hesos_16 @r_belhadj @hureyaksa يا اخي قلت من تحدث العربية فهو عربي وانت تتحدث العربية الآن فالعربية بمعناها ليست قومية او اصل او انتساب بل هي هوية فانتسابك وفخرك لا تلغيه العربية فأنت أمازيغي عربي وهناك كردي عربي وهناك بلوشي عربي وهكذا فالهوية لا تمحي النسب والعرق بل تعززه
169,1121126101286363137,0.0,C,C,@Sh_i___M الله يحفظك صوفي مشتاقلك والله
170,1147293856356098048,0.0,C,C,@2e7x3z لان كنت اذا بصرف احد أقولهم بروح اسوي شعري وصارت يعني تصريفتي ومسكوها علي مع انه ما وقفت علي كل البنات يسون شعرهم
171,1150393993529896961,0.0,C,C,@alsafir_1M احنا محد يرضي يشتغل عندنا غير المصاروه والله من صجي محد يبي يشتغل بمستشفياتنا بالكويت لان بيئة العمل طارده من كل النواحي ماكو تشجيع ماكو سياسات تنصفهم بالعمل اللي يشتغل  واللي مايشتغل واحد غير بلاوي المراجعين والفوضي اي اجنبي  يرضي يشتغل عندنا
173,1151262198787973122,1.0,H,GH,@my_problem1 ي شين الحريم اذا ذبحهم الفضول الحمدلله منتي اختي ولا انا اخوك
174,1116111467550519296,0.0,C,C,@Mostapha_20 للاسف انت نفسك بتتكلم بنمطيه وبتصنف جنسيات وبتقول مصري ومغربي وتونسي كلها عباد الله وبشر
175,1171917741789519875,0.0,C,C,"@alnassar_kw @al_dhubaib البدوي حالياً تلاحظ انه مازال يتصف بصفة الكرم وحب الخيل واكرام الضيف والرجوله 
سلم لي على البدو وبس"
176,1118299514329288705,0.0,C,C,"ترامب يتخذ حق الفيتو 
ضد قرار الكنجرس الامريكي بأنها المشاركة في الحرب على اليمن"
179,1162072125928349696,0.0,C,C,@0KHA_2 لكل عائلة ظروفها الخاصة بها سواء كان سيء او غيّر ذلك ف المراءة الضعيفه قد تتحمل رجل سيء من أجل أطفالها ولكن القوية ما اعتقد فهي تستطيع ان تعيش وتجعل من اطفالها قادة ومميزين.
180,1124100235721158661,0.0,C,C,@ghaddar_sahar @MA_zi97 كلنا ع حسابك ياست الستات انت عالعين و عالراس
181,1176245655792181249,0.0,C,C,@ajplusarabi اكتر المنتقدين لهذا الاعلان هم اللبنانيين.. انها عنصرية معيبةلكن لا تعني ان لبنان عنصري 👌...
183,1159538886420389893,1.0,H,EH,الذي ماهو يمني ينقلع الهند او افريقيا  اما عدن فهي أرض يمينةلامكان للعبيد الأفارقة في أرض قحطان افهمو ياجعاربه #الإمارات_ام_الارهاب #الامارات_تنصر_عدن
